Geographic Area Name,total_cases,total_fatalities,death_rate,total_tests
"Wyoming County, New York",182.0,5.0,0.027472527472527472,24545
"Yates County, New York",112.0,6.0,0.05357142857142857,12413
"Anderson County, Texas",2941.0,39.0,0.013260795647738865,30052
"Andrews County, Texas",584.0,10.0,0.017123287671232876,2127
"Angelina County, Texas",2277.0,90.0,0.039525691699604744,21193
"Aransas County, Texas",346.0,18.0,0.05202312138728324,3639
"Archer County, Texas",137.0,1.0,0.0072992700729927005,1082
"Armstrong County, Texas",24.0,1.0,0.041666666666666664,324
"Atascosa County, Texas",1270.0,35.0,0.027559055118110236,13095
"Austin County, Texas",513.0,9.0,0.017543859649122806,7224
"Bailey County, Texas",280.0,5.0,0.017857142857142856,1411
"Bandera County, Texas",185.0,8.0,0.043243243243243246,3056
"Bastrop County, Texas",1991.0,31.0,0.0155700652938222,17306
"Baylor County, Texas",43.0,2.0,0.046511627906976744,607
"Bee County, Texas",1846.0,39.0,0.02112676056338028,21208
"Bell County, Texas",6327.0,100.0,0.0158052789631737,101458
"Bexar County, Texas",52335.0,1394.0,0.026636094391898346,552489
"Blanco County, Texas",159.0,6.0,0.03773584905660377,2142
"Borden County, Texas",2.0,0.0,0.0,30
"Bosque County, Texas",405.0,11.0,0.027160493827160494,5432
"Bowie County, Texas",1765.0,73.0,0.041359773371104816,35251
"Brazoria County, Texas",12191.0,182.0,0.014929046017553934,140041
"Brazos County, Texas",7430.0,67.0,0.00901749663526245,79170
"Brewster County, Texas",246.0,5.0,0.02032520325203252,3445
"Briscoe County, Texas",22.0,1.0,0.045454545454545456,300
"Brooks County, Texas",347.0,23.0,0.06628242074927954,5965
"Brown County, Texas",661.0,28.0,0.04236006051437216,6999
"Burleson County, Texas",457.0,6.0,0.01312910284463895,4754
"Burnet County, Texas",888.0,15.0,0.016891891891891893,11904
"Caldwell County, Texas",1689.0,37.0,0.021906453522794554,9484
"Calhoun County, Texas",928.0,9.0,0.009698275862068966,6492
"Callahan County, Texas",123.0,4.0,0.032520325203252036,2028
"Cameron County, Texas",23976.0,974.0,0.04062395729062396,123787
"Camp County, Texas",391.0,13.0,0.03324808184143223,1919
"Carson County, Texas",53.0,0.0,0.0,895
"Cass County, Texas",496.0,23.0,0.046370967741935484,6761
"Castro County, Texas",301.0,7.0,0.023255813953488372,2329
"Chambers County, Texas",1545.0,10.0,0.006472491909385114,4221
"Cherokee County, Texas",1626.0,36.0,0.02214022140221402,10804
"Childress County, Texas",120.0,0.0,0.0,1843
