Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Harris County, Texas",4602523,2288295,2314228,352799,346412,342994,315136,321813,747301,657407,576550,261843,227941,282371,123989,45967,33.3
"Andrews County, Texas",17818,9102,8716,1551,1634,1449,1461,1113,2680,2193,2134,899,861,1043,563,237,31.2
"Gillespie County, Texas",26208,12731,13477,1302,1298,1622,1551,1180,2124,2609,2872,1763,2276,3920,2599,1092,50.3
"Gonzales County, Texas",20667,10448,10219,1507,1569,1599,1389,1315,2470,2265,2523,1491,1207,1903,1055,374,36.5
"Lynn County, Texas",5808,2977,2831,393,480,434,406,290,692,690,716,361,368,519,364,95,38.2
"Young County, Texas",18114,8930,9184,1093,1163,1321,1316,780,2072,1989,2265,1226,1304,1917,1096,572,41.4
"Zapata County, Texas",14369,7177,7192,1396,1837,897,952,1228,1762,1692,1458,594,554,1077,751,171,29.6
"Hood County, Texas",56901,28004,28897,3109,3220,3506,3474,2578,5914,5641,6942,4449,4261,7883,4531,1393,46.7
"Hopkins County, Texas",36240,17801,18439,2320,2452,2789,2279,2105,4356,4220,4652,2454,2135,3730,2159,589,39.5
"Ochiltree County, Texas",10348,5230,5118,904,834,999,906,531,1465,1467,1017,632,555,618,293,127,31.6
"King County, Texas",228,118,110,17,15,20,15,2,23,21,23,46,13,18,15,0,46.5
"Knox County, Texas",3733,1853,1880,279,272,316,239,250,378,319,460,248,289,334,242,107,39.5
"McLennan County, Texas",248429,121359,127070,17541,16956,16751,20889,26258,31956,28004,27705,14318,13611,19183,10742,4515,33.2
"Cherokee County, Texas",51903,26607,25296,3651,3897,3435,3731,3369,6056,6130,6506,2926,3427,5071,2665,1039,37.8
"Concho County, Texas",4233,2802,1431,121,188,133,575,226,502,588,643,261,241,428,225,102,41.9
"Delta County, Texas",5215,2527,2688,315,282,378,434,241,516,541,647,400,419,613,293,136,42.3
"Edwards County, Texas",2055,1062,993,120,132,63,156,89,140,163,367,122,134,334,219,16,49.3
"Eastland County, Texas",18270,9245,9025,979,1149,1008,1461,1120,1767,2052,2007,1348,1272,2215,1234,658,42.4
"Jones County, Texas",19891,12507,7384,888,913,1075,937,1363,3666,2979,2768,1407,927,1724,934,310,38.5
"Reeves County, Texas",15125,8689,6436,958,866,1005,1086,1137,2271,2455,1939,866,718,993,566,265,35.6
"Sabine County, Texas",10458,5072,5386,450,556,559,569,330,978,862,1189,1051,752,1827,975,360,52.7
"Sherman County, Texas",3058,1574,1484,190,176,208,224,168,347,443,493,158,216,231,170,34,40.4
"Swisher County, Texas",7484,4036,3448,477,508,542,530,368,1198,911,777,416,417,719,407,214,35.7
"Hunt County, Texas",92152,45279,46873,5804,6140,6305,6695,6266,11300,10817,12284,6545,5474,8628,4434,1460,37.8
"Camp County, Texas",12813,6220,6593,953,961,909,853,792,1400,1318,1696,835,795,1335,708,258,38.7
"Hansford County, Texas",5547,2783,2764,467,363,473,436,431,658,736,544,303,273,487,270,106,34.3
"Guadalupe County, Texas",155137,76850,78287,9910,11309,11397,11707,9540,19682,21641,21399,9868,7945,12567,6145,2027,36.7
"Clay County, Texas",10387,5195,5192,464,607,675,606,541,984,1154,1342,800,903,1340,721,250,46.2
"Hill County, Texas",35399,17603,17796,2113,2362,2355,2453,1970,3855,3796,4411,2611,2253,4097,2433,690,42.1
"Nacogdoches County, Texas",65558,31365,34193,4385,4600,3913,6473,8712,7719,6618,6766,4056,3324,5203,2769,1020,30.6
"Parmer County, Texas",9852,5059,4793,760,758,900,737,649,1320,1130,1201,524,597,730,412,134,33.9
"Presidio County, Texas",7123,3497,3626,506,533,575,650,257,545,891,846,346,378,864,617,115,41.8
"Val Verde County, Texas",49027,24925,24102,4192,3547,4027,3771,4126,7022,5701,5386,1863,2498,3825,2019,1050,31.7
"Ector County, Texas",158342,80249,78093,14526,13298,12743,11485,12562,26131,19808,17110,8353,7355,8654,4463,1854,30.3
"Glasscock County, Texas",1430,787,643,68,69,127,132,158,122,229,134,68,150,87,69,17,36.0
"Grimes County, Texas",27630,14892,12738,1534,1604,1975,1843,1701,3173,3608,3669,1951,2018,2901,1153,500,40.3
"Collin County, Texas",944350,464248,480102,59858,69836,76360,67986,53580,120753,151930,143663,56656,45688,62711,26801,8528,36.6
"Angelina County, Texas",87607,42659,44948,6011,6477,6320,6025,5531,11212,10568,11220,5567,5049,7768,3918,1941,37.2
"Cottle County, Texas",1623,792,831,166,137,158,98,31,180,79,229,116,79,209,102,39,37.9
"Hays County, Texas",204150,101636,102514,12742,13582,13391,17308,25542,28878,26754,23560,11592,9516,13864,5782,1639,31.6
"Lipscomb County, Texas",3469,1840,1629,268,305,203,248,170,553,316,399,248,229,262,181,87,34.9
"Matagorda County, Texas",36743,18319,18424,2579,2556,2764,2339,2361,4636,4015,4498,2328,2767,3214,1752,934,37.8
"Pecos County, Texas",15797,9010,6787,1102,1289,902,918,1006,2485,2267,2056,1031,743,1100,636,262,35.9
"Rockwall County, Texas",93642,46167,47475,5826,6996,8035,7237,4966,10679,14190,13418,6475,4729,6828,3092,1171,37.6
"Rusk County, Texas",53595,28379,25216,3167,3705,3292,3594,3263,7115,6993,6959,3744,3153,4874,2787,949,38.5
"Throckmorton County, Texas",1567,694,873,84,49,82,128,98,175,117,213,101,130,207,142,41,46.6
"Walker County, Texas",71539,41642,29897,3120,3108,2959,5491,10647,10015,9805,9702,4367,3608,5197,2269,1251,35.4
"Wood County, Texas",43815,21807,22008,2138,2208,2656,2751,2115,4129,4211,5300,3464,3073,6759,3661,1350,48.2
"Aransas County, Texas",24763,12026,12737,1207,1244,1379,1351,1446,2010,2483,3240,1820,2002,3829,2119,633,49.6
"Childress County, Texas",7226,4449,2777,345,384,409,394,736,1813,878,601,316,395,436,383,136,30.9
"Coke County, Texas",3275,1606,1669,103,125,279,209,92,212,426,465,255,217,492,304,96,50.3
"Coryell County, Texas",75389,37630,37759,5353,4750,5146,4458,8425,14423,10877,8429,3643,2872,4224,1970,819,31.5
"Hemphill County, Texas",4061,1965,2096,260,356,473,370,162,391,609,443,257,200,326,148,66,35.2
"Moore County, Texas",21801,11438,10363,1950,1974,1980,1699,1682,2953,2666,2415,1179,1039,1394,568,302,30.2
"Navarro County, Texas",48583,23845,24738,3492,3280,3829,3489,2814,5587,5639,6170,3384,2815,4566,2518,1000,38.6
"San Augustine County, Texas",8327,4085,4242,394,364,585,602,258,815,714,1154,714,593,1230,677,227,49.4
"Shackelford County, Texas",3311,1770,1541,207,248,167,336,108,380,297,453,354,152,330,211,68,43.0
"Starr County, Texas",63894,31073,32821,6460,5426,5856,5551,5256,8313,7619,6989,2756,2535,4001,2305,827,28.7
"Upton County, Texas",3634,1843,1791,341,239,317,264,162,418,456,447,248,196,307,179,60,37.2
"Bastrop County, Texas",82577,42014,40563,5457,5301,6600,5916,4875,9376,10342,11192,5920,5873,7595,2948,1182,38.6
"Hall County, Texas",3074,1546,1528,124,152,295,275,144,251,330,371,173,250,377,243,89,43.5
"Franklin County, Texas",10679,5362,5317,587,672,840,794,526,1066,1129,1322,789,733,1283,755,183,43.0
"Frio County, Texas",19394,11580,7814,1166,1182,1174,1763,2021,3553,2385,2094,775,900,1356,841,184,31.4
"Lampasas County, Texas",20640,10187,10453,1136,1114,1510,1497,967,2185,2601,2851,1434,1582,2294,1070,399,42.2
"Mason County, Texas",4161,2146,2015,213,124,297,351,200,316,445,533,318,320,643,331,70,46.9
"Dickens County, Texas",2216,1143,1073,109,103,173,146,82,200,323,246,128,193,276,204,33,43.9
"Tarrant County, Texas",2019977,988765,1031212,144494,151834,154147,143146,135990,300991,277505,269412,121880,103987,132708,60433,23450,34.3
"Anderson County, Texas",57863,35412,22451,2991,2985,3276,3040,3562,8821,9905,8259,3227,3598,4859,2481,859,39.1
"Jackson County, Texas",14820,7226,7594,1053,1104,1038,895,890,1638,1995,1693,1124,899,1309,788,394,38.5
"Milam County, Texas",24664,12343,12321,1548,1579,1706,1897,1388,2762,2322,3165,1590,1845,2839,1402,621,41.3
"Comanche County, Texas",13495,6738,6757,762,809,900,1012,572,1278,1438,1646,837,980,1826,1088,347,44.8
"Brooks County, Texas",7180,3724,3456,501,494,503,561,978,831,801,747,302,349,649,412,52,32.7
"Titus County, Texas",32730,16046,16684,2534,2832,2593,2528,2359,4047,3877,3994,1750,1738,2598,1382,498,33.8
"Liberty County, Texas",81862,40439,41423,5715,5789,5927,5526,5518,11704,10271,10863,5591,4421,6603,3154,780,35.7
"Wise County, Texas",64639,32424,32215,4302,4380,4564,4366,3784,8020,7761,9171,4731,4058,5997,2504,1001,38.4
"Jim Wells County, Texas",41192,20178,21014,3041,3107,3521,3174,2596,5304,5092,4722,2210,2414,3425,1980,606,34.8
"Dimmit County, Texas",10663,5186,5477,1015,746,981,864,523,1344,1457,923,435,641,927,515,292,33.7
"Fort Bend County, Texas",739342,363177,376165,51655,58222,59504,54665,43098,91278,113334,104353,47261,41118,49623,18833,6398,36.0
"Irion County, Texas",1524,836,688,60,102,141,127,87,122,140,214,104,138,145,94,50,44.1
"Cooke County, Texas",39571,19660,19911,2677,2627,2440,2643,2550,4818,4226,4932,2641,2973,4111,2154,779,40.4
"Dawson County, Texas",12964,7235,5729,852,740,1067,743,1285,2157,1630,1333,708,601,977,610,261,33.0
