Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Ventura County, California",271226,8653,7711,16744,17921,26844,42811,38297,51509,27073,33663,84017,110792,36891,57726,49285
"Okaloosa County, Florida",77403,3679,2693,6925,7530,10070,15239,10981,12735,4071,3480,62048,79157,31901,47516,36408
"Taylor County, Florida",7356,562,483,1237,1273,1119,1347,617,589,45,84,36934,49042,16919,39496,30796
"Washington County, Florida",8484,856,695,1104,1300,1249,1622,822,540,202,94,37188,50278,18112,37530,31191
"Duval County, Florida",354387,25497,16407,33946,36980,52510,66330,45800,45203,15313,16401,53473,74331,30012,45788,39181
"Bradford County, Florida",8993,1069,617,991,836,1195,1925,1049,945,271,95,46197,57048,20481,42369,33407
"Brevard County, Florida",228888,12747,11298,23662,23929,32989,44671,28041,30189,10953,10409,54359,73762,30987,50501,39170
"Clay County, Florida",73398,3653,1965,6162,6807,9541,15541,10881,11510,4600,2738,62653,78932,29138,49708,40114
"Lafayette County, Florida",2095,245,207,253,264,212,233,305,263,54,59,39543,58488,19870,40194,41627
"Lake County, Florida",130190,7066,6322,14467,15381,19746,25344,17767,15076,5304,3717,51884,66691,27052,42269,36386
"Nassau County, Florida",31241,1552,1118,2056,3152,3720,5964,4252,5318,2192,1917,66297,88805,35335,54355,40248
"Pinellas County, Florida",407720,27780,20093,46204,46101,58712,71041,48207,50265,19664,19653,51454,74155,33478,45961,40526
"Polk County, Florida",231260,15597,11725,26363,26792,38573,45606,27573,24894,7562,6575,48500,63849,23812,40890,34435
"St. Lucie County, Florida",112872,7427,5888,12853,13225,17737,22450,14516,11497,3674,3605,49373,65145,25736,40291,33814
"Glades County, Florida",4433,279,422,504,696,795,852,298,410,96,81,39879,53454,21020,41576,26925
"Hendry County, Florida",12027,1123,721,1939,1435,1994,1848,1509,969,240,249,40728,56431,18900,33562,27355
