Geographic Area Name,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races
"Jim Wells County, Texas",41192,33060,7432,254,28,253,63,20,82
"Dimmit County, Texas",10663,9244,1008,5,0,402,0,0,4
"Fort Bend County, Texas",739342,179653,249314,149334,1652,146020,141,1583,11645
"Irion County, Texas",1524,374,1086,54,0,0,0,0,10
"Cooke County, Texas",39571,7043,29979,967,221,357,17,40,947
"Dawson County, Texas",12964,7402,4630,763,56,6,0,0,107
"Burleson County, Texas",17863,3657,11617,2240,52,40,0,8,249
"Jefferson County, Texas",255210,51461,104869,85589,428,9401,114,251,3097
"Oldham County, Texas",2090,353,1559,100,1,10,0,0,67
"El Paso County, Texas",837654,690189,102112,25430,2213,9163,1022,425,7100
"Terrell County, Texas",862,548,265,23,2,0,0,0,24
"Uvalde County, Texas",27009,19247,7223,86,107,271,0,5,70
"Archer County, Texas",8789,727,7772,76,27,47,0,0,140
"Hidalgo County, Texas",849389,781681,54299,3619,614,7779,118,254,1025
"Somervell County, Texas",8743,1648,6911,54,27,35,60,6,2
"Haskell County, Texas",5809,1665,3758,192,33,44,0,7,110
"Mills County, Texas",4902,968,3901,10,10,5,0,0,8
"Newton County, Texas",14057,497,10335,2771,21,166,0,0,267
"Kimble County, Texas",4408,1114,3193,1,17,0,0,16,67
"Van Zandt County, Texas",54368,5741,45714,1423,298,268,39,0,885
"Martin County, Texas",5614,2574,2978,48,8,4,2,0,0
"Yoakum County, Texas",8571,5643,2763,25,11,5,0,29,95
"Red River County, Texas",12275,902,8982,2080,28,6,0,0,277
"Sutton County, Texas",3865,2385,1470,3,0,0,0,0,7
"Upshur County, Texas",40769,3423,32817,3368,294,239,0,199,429
"Wharton County, Texas",41551,16983,18643,5747,27,64,0,8,79
"Borden County, Texas",665,56,595,0,0,0,0,0,14
"Marion County, Texas",10083,406,7142,2361,43,0,38,0,93
